Workbook Name,Workbook ID,Start Time,End Time,Status,Job ID,Error Message
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-05 23:48:24,2026-05-05 23:49:38,Success,0747fd19-5df5-4f06-84e8-5ee65a5e7770,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-05 23:49:38,2026-05-05 23:50:31,Success,9d9abf01-23e2-4696-8432-8320632c40c2,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-05 23:50:31,2026-05-05 23:51:44,Success,b0a37544-bcc0-4ebe-ab34-015afd438d98,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-05 23:51:44,2026-05-05 23:53:26,Success,66f43ebc-a702-4d47-969c-106b483fa21d,
Google Trend,176b0932-aeec-42c1-860b-fad8dbe5fd9c,2026-05-05 23:53:26,2026-05-05 23:54:39,Failed,N/A,Job 68ce0602-0921-40f7-a256-d950933c5082 failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-06 23:45:21,2026-05-06 23:49:04,Success,940766f7-0ace-4ea1-a4db-c1b70d836ae3,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-06 23:49:04,2026-05-06 23:51:16,Success,7180d78b-4479-4eaa-801d-2ec451771298,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-06 23:51:16,2026-05-06 23:53:28,Success,38a9c383-4f05-4afe-b016-394f39054ea9,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-06 23:53:28,2026-05-06 23:55:41,Success,e7c703db-fb04-464a-9a1f-f8278b0a7471,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-06 23:55:41,2026-05-06 23:56:54,Success,c5be3af9-4b9e-478c-8b71-026e6a7d6d66,
Google Trend,176b0932-aeec-42c1-860b-fad8dbe5fd9c,2026-05-06 23:56:54,2026-05-06 23:58:08,Failed,N/A,Job 6d927918-4213-4368-bd6a-c58208f52238 failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-05-07 23:50:51,2026-05-07 23:54:33,Success,a790f977-1e6e-4ae8-97d3-a4711dcfcb17,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-05-07 23:54:33,2026-05-07 23:56:45,Success,cb5db2a3-788f-49e0-bdaa-c308f07f57be,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-05-07 23:56:45,2026-05-07 23:58:27,Success,e439232f-0540-404f-b031-3893b71a1c79,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-05-07 23:58:27,2026-05-08 00:00:08,Success,ffc264c2-d880-4ba9-bbb0-360cdb0b8a22,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-05-08 00:00:08,2026-05-08 00:01:50,Success,26a6acce-cdb7-4714-ab8d-72a40b968553,
Google Trend,176b0932-aeec-42c1-860b-fad8dbe5fd9c,2026-05-08 00:01:50,2026-05-08 00:02:10,Failed,N/A,Job 08758b61-1f4b-4b86-b401-0799efc399fc failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
